Name,Address1,Address2,Address3,Address4,Phone,Email,Website,Type,Category,Opening_Hours,Directions,Surface_Type,Comments,Accessible_Play_Items,Disabled_Parking,Park_Ranger,Toilets,Disabled_Toilets,Baby_Changing,Seating,Drinking_Water,LAT,LONG
Racecourse Park,Red Arches Road,Baldoyle,Dublin 13,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Neighbourhood,,No information on website,Rubber wet pour,,,No,,No,No,No,,No,53.3997454,-6.136965458
Moyclare,Moyclare Road,Baldoyle,Dublin 13,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,None,No,No ranger present,No,No,No,,No,53.39290887,-6.128307155
Ardgillan Demesne,Balbriggan,Co. Dublin,,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Regional,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,The Park is located between Skerries and Balbriggan.By Car: Signposted from the M1/N1 Dublin-Belfast road to Balbriggan. By Bus: Bus 33 from Eden Quay in  Dublin city centre.  The bus passes under Ladies Stairs footbridge entrance to the park 3.5 Km north of Skerries. By Train: 4 Km walk from Balbriggan Station on the Dublin to Drogheda line.,Rubber wet pour,subject to opening times of park,Accessible Cradle Swing,Yes,Ranger present,Yes,Yes,Yes,Yes,Yes,53.58512277,-6.156691522
Balheary,Balheary Road,Swords,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Multi Use Games Area,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Grass Matting,open,None,No,No ranger present,No,No,No,,No,53.46588249,-6.21864241
Balheary,Balheary Road,Swords,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Skatepark,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Concrete,open,None,No,No ranger present,No,No,No,,No,53.46557496,-6.218659977
Bayside,Bayside Park,Sutton,Dublin 13,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,None,No,No ranger present,No,No,No,,No,53.39043367,-6.137854978
Beechpark,Clonsilla,Dublin 15,,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Neighbourhood,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Bark chip,public,Basket Swing,Yes,Ranger present,No,No,No,Yes,No,53.38151318,-6.425142676
Boro Court,Forrest Road,Swords,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,None,No,No ranger present,No,No,No,,No,53.4487293,-6.232752245
Chapel Estate,Chapel Close,Balbriggan,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Neighbourhood,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,Basket Swing,No,No ranger present,No,No,No,,No,53.61259498,-6.19251197
Collegefort,Castleknock,Dublin 15,,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,not in charge,None,No,No ranger present,No,No,No,,No,53.36967845,-6.374070417
Corduff Facilities Park,Blackcourt Road,Corduff,Dublin 15,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,subject to sport centre hours,Accessible Roundabout,Yes,No ranger present,No,No,No,,No,53.39901106,-6.378409944
Dun Saithne,Dun Saithne Crescent,Balbriggan,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,Basket Swing,No,No ranger present,No,No,No,,No,53.61609018,-6.205565015
Fortlawn,Fortlawn Park,Fortlawn,Dublin 15,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,subject to community centre opening hours,Basket Swing,Yes,No ranger present,No,No,No,,No,53.39308427,-6.406796396
Grace O'Malley Park,Tuckett's Lane,Howth,Dublin 13,,+353 1 8905649,parks@fingalcoco.ie,,Multi Use Games Area,Local,,No information on website,Grass Matting,open,None,No,No ranger present,No,No,No,No,No,53.38375954,-6.070031035
Barnwell,Barnwell,Hansfield,Dublin 15,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,not in charge,None,No,No ranger present,No,No,No,Yes,No,53.39155554,-6.444731426
Holywell,Holywell Crescent South,Swords,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Neighbourhood,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,Accessible Cradle Swing,No,No ranger present,No,No,No,,No,53.44249518,-6.210619241
Holywell,Holywell Avenue,Swords,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Neighbourhood,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,Accessible Cradle Swing,No,No ranger present,No,No,No,,No,53.44591085,-6.211028598
Howth Habour,Harbour Road,Howth,Dublin 13,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,Open Dawn to Dusk,By Car: The playground is located on the open space between Harbour Road and Howth Yatch club at the harbour.By bus: 31 or 31B to Howth By Train: Take DART to Howth Station and playground is five minutes from Station.,Rubber wet pour,open,Basket Swing,Yes,No ranger present,No,No,No,,No,53.38818944,-6.067418756
Malahide Castle,Malahide,Co. Dublin,,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Regional,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,The Park is situated within easy walking distance of the centre of Malahide Village. By Car. Sign posted from the M1/N1 Dublin-Belfast and from the main Dublin to Malahide road. By Bus: Bus 42 from Talbot Street in Dublin City Centre. By Train: 10 minute walk from Malahide Train Station on the main line from Dublin to Drogheda/Dundalk. Malahide is also served by the DART.,Rubber wet pour,subject to opening times of park,Basket Swing,Yes,Ranger present,Yes,,,,,53.44372108,-6.159004128
Malahide Castle,Malahide,Co. Dublin,,,+353 1 8905649,parks@fingalcoco.ie,,Outdoor Exercise Equipment,Regional,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,The Park is situated within easy walking distance of the centre of Malahide Village. By Car. Sign posted from the M1/N1 Dublin-Belfast and from the main Dublin to Malahide road. By Bus: Bus 42 from Talbot Street in Dublin City Centre. By Train: 10 minute walk from Malahide Train Station on the main line from Dublin to Drogheda/Dundalk. Malahide is also served by the DART.,Bark chip,subject to opening times of park,None,Yes,Ranger present,Yes,,,,,53.444229,-6.160410497
