Name,Address1,Address2,Address3,Address4,Phone,Email,Website,Type,Opening_Hours,Playground,Multi_Use_Games_Area,Skatepark,Outdoor_Exercise_Equipment,GAA,Soccer,Rugby,Cricket,Tennis,Bowls,Boules,Pitch_and_Putt,Walking,Cycling,Heritage_Venue,Other_Attractions,Café,Picnic_Tables,Park_Benches,Parking,Disabled_Parking,Bicycle_Parking,Toilets,Disabled_Toilets,Baby_Changing,Area,LAT,LONG
Ardgillan Demesne,Balbriggan,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/ArdgillanDemesneRegionalPark/,Regional,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Ardgillan Castle,"Walled garden (inc. herbs, vegetables and ornamental plants); Rose Garden; National Potentilla Collection; Victorian Conservatory; Panoramic views",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,770262.7877,53.58533293,-6.1704873
Balheary Park,Balheary Road,Swords,Co. Dublin,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,144657.8361,53.47159147,-6.221246991
Carpenterstown Park,Carpenterstown,Dublin 15,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,,,,No,No,No,No,No,,No,No,,No,,,,,,No,No,No,40032.2113,53.37044708,-6.392998301
Carrickhill Park,Portmarnock,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,Yes,No,No,No,,,,No,Yes,No,No,No,,No,No,,No,,,Yes,Yes,,No,No,No,160861.1146,53.43460028,-6.136856301
Malahide Demesne,Malahide,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/MalahideDemesneRegionalPark/,Regional,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Malahide Castle,Talbot Botanic Gardens,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,1062631.104,53.45018139,-6.156815924
Millennium Park,Blanchardstown,Dublin 15,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Regional,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,218480.7692,53.39231307,-6.395281782
Newbridge Demense,Hearse Road,Donabate,Co. Dublin,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/NewbridgeDemesneRegionalPark/,Regional,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Newbridge House; Newbridge Traditional Farm,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1484171.429,53.4864959,-6.180867553
Porterstown Park,Luttrellstown Road,Porterstown,Dublin 15,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Running Track,No,,,Yes,Yes,No,,,No,218501.7142,53.37252661,-6.407805079
Santry Demense,Swords Road,Santry,Dublin 9,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Regional,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Pond; Walled Garden,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,399764.3683,53.40397497,-6.245420304
Seagrange Park,Grange Road,Baldoyle,Dublin 13,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,,No,,,No,No,No,No,No,No,128235.5034,53.39719371,-6.136231875
